word,J-SUM,RJ-SUM,C-SUM,RC-SUM,LNC1-SUM,LNC2-SUM,RLNC2-SUM,None
corrode,1.3833628207308692,0.8768892792449023,10.620330154895782,8.388614356517792,13.555612857594276,13.555612857594276,10.074083512317516,
table,5.547012362121471,2.353554743433839,13.473083794116974,9.903257966041565,14.724360968724858,14.724360968724858,11.1979100009304,
shilling,4.321988695808827,3.302793457284904,12.81705528497696,11.263085782527924,14.062750962726012,14.062750962726012,10.704550608550866,
superstitious,1.460481618756295,0.27233067139899436,12.311469376087189,9.02244383096695,14.190389046330033,14.190389046330033,11.668161709894898,
imitation,1.9139249288040243,0.3760721679976339,12.336847066879272,7.242827504873276,13.506878273660572,13.506878273660572,10.369391755773414,
secret,2.9089099901881963,0.6139455782312926,12.642633318901062,6.568006664514542,13.473572094035443,13.473572094035443,10.280624976387982,
sole,2.4444840989910555,0.1649659863945578,11.610576868057251,7.814858049154282,13.677951669994794,13.677951669994794,10.764864227537702,
fascination,2.298082132945187,0.7684709714906622,11.744742155075073,8.438472747802734,14.127636148457661,14.127636148457661,10.812596989788519,
review,3.436853400618812,1.603617616696534,12.152994513511658,9.360680967569351,14.31706083188904,14.31706083188904,11.159389286962025,
denomination,6.406791045513756,3.337825281836934,12.982509851455688,11.052363872528076,14.704396068245648,14.704396068245648,10.578562423750617,
unpopular,2.0429520603585773,0.48156862189834315,11.942116737365723,8.459170550107956,14.24264663730842,14.24264663730842,10.897606325522753,
roughly,0.864137119517735,0.3803238686779059,6.007357055088505,2.5474399365484715,7.211880313664356,7.211880313664356,5.005599924392624,
inquisitive,2.0407393818379895,0.5312009419152277,11.900313019752502,8.895134389400482,13.95693942111953,13.95693942111953,10.011678192385977,
fearful,2.6345953366692676,0.7497424996718133,11.52096426486969,7.528404019773006,14.197425713407732,14.197425713407732,11.015903994882645,
machine,3.5639079747618525,1.579495500761282,11.936355412006378,8.997614592313766,13.246321036151453,13.246321036151453,9.176896586666839,
instance,2.480189405460866,0.7358745996085762,11.960599660873413,8.555218160152435,14.442388617561932,14.442388617561932,12.271853423340398,
insect,5.456083908096293,2.0972904066223896,13.545087099075317,8.823044657707214,14.41490519187097,14.41490519187097,11.42990648266262,
colonial,1.996474677577379,0.6019360866643837,11.889339804649353,6.53927044197917,13.544246637999915,13.544246637999915,10.391217255317596,
leafy,3.7637247010474466,2.7285836773635803,12.14905732870102,10.761948585510254,14.605257622383254,14.605257622383254,11.282317064200784,
label,1.3561188266737394,0.5928657918798034,11.217126548290253,7.171819340437651,12.745832787925277,12.745832787925277,8.099449505023458,
burial,3.3182400855411984,0.9943617318852045,12.675354301929474,8.563270896673203,14.142429443109911,14.142429443109911,9.681006918327972,
tower,4.548482799291915,2.590062171340378,13.439155995845795,10.158863365650177,14.604950127968804,14.604950127968804,11.847323279534153,
reunite,1.0769359362136077,0.3854875283446712,9.80095961689949,2.7395754419267178,11.289802754699235,11.289802754699235,6.5944987539985815,
ceremonial,2.1442750094717336,0.7312273807336612,11.489325881004333,8.720730245113373,13.091148806764144,13.091148806764144,8.985807491146316,
chill,4.269135823080953,0.8856303944270145,12.960200905799866,10.082634449005127,14.46036572901211,14.46036572901211,11.926773244778255,
lad,2.4407895791362497,0.6175024280449152,10.956462681293488,6.6958285719156265,13.826523497617726,13.826523497617726,11.016101819855697,
nativity,0.6730122507100205,0.5661280270557548,8.811140239238739,5.315309524536133,11.677942972455915,11.677942972455915,7.8278447144051695,
quickness,2.264975955091793,1.0240036572916336,11.604296088218689,6.215537637472153,13.333378168574884,13.333378168574884,9.26620353987712,
exhaust,2.120875711085736,0.3299577406720263,10.86125323176384,4.276756959385239,12.589592925628505,12.589592925628505,9.167922342975455,
decree,3.10732134773459,0.6473517195401693,12.524266541004181,7.882935732603073,14.394913653595408,14.394913653595408,11.766093889745678,
rustle,2.993288594253916,0.903175313059034,13.31844675540924,9.663596391677856,14.488646295198862,14.488646295198862,12.123933012444521,
chapel,4.366278084255901,1.7613757183016179,13.035792350769043,9.4197878241539,14.529958270221762,14.529958270221762,11.588790912221866,
range,1.319335484599821,0.501447899685658,11.40910804271698,6.28569365106523,13.304430079514999,13.304430079514999,10.306230654966607,
contingent,0.8261099103407812,0.23236468500443652,9.724486023187637,5.388554818928242,12.038646325038114,12.038646325038114,9.63666746564174,
fashionable,2.621793252424029,0.8194555286863995,12.814565122127533,7.32110732793808,13.834534913330547,13.834534913330547,10.645206426599637,
observance,3.4088978299227204,0.5153318903318904,12.30763578414917,6.702449947595596,14.09425235434188,14.09425235434188,10.90085186834883,
endanger,1.6594783911706226,0.3155304675061514,10.778742015361786,4.531354194507003,12.577387514541225,12.577387514541225,10.810360764141837,
mournful,2.8401444031148415,1.5494732713021264,12.607878923416138,8.812566548585892,14.304594799609491,14.304594799609491,11.519642231411359,
bass,2.4285016845665677,1.3890342950736763,11.848747730255127,5.755986945703626,13.770910265000698,13.770910265000698,10.662309974755285,
clam,3.192157289427194,1.9556686229043512,11.925211071968079,10.881443202495575,14.532370140495862,14.532370140495862,11.128892640621947,
arrow,4.2001242711287645,4.0439750587785435,13.309617638587952,11.205869019031525,14.536622040320111,14.536622040320111,11.016910821245148,
enforcement,2.8929674038164466,1.0602805042396721,11.62350457906723,10.187780737876892,14.296523387117789,14.296523387117789,11.741155632101563,
risk,2.848090087419356,0.2519225081336882,11.327720284461975,4.946020804345608,13.312254428163158,13.312254428163158,9.743658749081337,
dismember,1.1243811650254405,0.1667209436966276,9.526079565286636,6.54804902523756,12.664460317558273,12.664460317558273,8.335956859116333,
innumerable,2.40630977083828,0.2696121001592126,11.442963242530823,5.647993206977844,13.327753861990072,13.327753861990072,10.121262635704944,
bribery,3.635495671286111,1.933771735740053,12.678451418876648,9.64328470826149,14.541631478688219,14.541631478688219,10.581911510273635,
indicative,2.1141201298297903,0.6808574283300066,9.520504891872406,6.938249543309212,13.795630403139658,13.795630403139658,10.476953951125957,
pantomime,0.9579782890096719,0.7872584993967312,8.972566217184067,4.939578652381897,11.443653681559622,11.443653681559622,8.256205007565903,
tyranny,4.544807670680225,1.283667304465453,12.905605733394623,11.047585487365723,14.570671601012453,14.570671601012453,11.477277566155779,
animated,1.8347068456740079,0.41853017802865833,10.744747996330261,8.769800424575806,13.044960332189156,13.044960332189156,9.019237054431947,
strawberry,5.523829119030358,3.418873995156946,12.73592895269394,12.173528671264648,14.917619215082258,14.917619215082258,11.240360267972228,
angler,2.813480496075739,1.0230847068270155,9.465780854225159,6.80156166665256,11.886871742921414,11.886871742921414,8.015609671873419,
gallon,3.210549292684329,1.0726557263862855,13.13727205991745,6.915726199746132,14.069215416378526,14.069215416378526,10.811201052025734,
mining,2.968535736128976,1.4786658303739049,11.351576030254364,7.260501220822334,13.76370572871404,13.76370572871404,10.650222296420662,
rich,3.0682578090266164,0.33083658995513093,13.122992992401123,5.273011919111013,13.897712012781573,13.897712012781573,10.133152610464558,
seclude,3.1185845616033903,0.5572415521867088,12.977224349975586,9.55049154162407,14.10154926988759,14.10154926988759,9.856477741223031,
everybody,4.803903899121382,1.9952584876762223,10.91823273897171,7.72569315135479,14.164785733514485,14.164785733514485,10.956071857425252,
embarrass,1.463257740233424,0.5296955661697302,9.44272331893444,7.076296862214804,12.83624033968124,12.83624033968124,9.098281833192711,
murky,3.4761506939461584,2.09453622289806,11.643103539943695,9.429117500782013,14.599907525218763,14.599907525218763,11.300065470521528,
tenacious,0.8408225861476819,0.35481366459627334,9.431774824857712,6.147458367049694,12.710312505868067,12.710312505868067,8.923582299126664,
recourse,1.4397155725529234,1.0371241774538986,10.599053084850311,6.502183422446251,13.884555493793519,13.884555493793519,10.745946016314445,
flock,3.714568068353483,1.410312753048117,13.461850702762604,8.984482288360596,14.354513514311249,14.354513514311249,11.155461058717975,
brotherhood,1.259060390200884,0.5337519623233908,11.110806465148926,6.289445295929909,13.168485450859377,13.168485450859377,8.619434667069715,
acquit,4.368466599669959,1.5999271929546839,12.68865829706192,10.189850628376007,14.434917543407332,14.434917543407332,10.901118472516789,
feminine,2.2994791331316837,0.9155588262024255,12.661582291126251,8.466295063495636,14.310330724524237,14.310330724524237,11.331265853174163,
renewal,1.2434930941608686,0.5423393728864854,9.740256518125534,6.686111778020859,13.246841278351809,13.246841278351809,9.403745778172341,
volition,0.9689478418003593,0.2982402180730448,10.164190262556076,6.511881917715073,12.189361753903974,12.189361753903974,9.556028568458405,
contentment,2.9909499302241045,1.2365585092557472,11.243305325508118,8.182583153247833,13.924044262893428,13.924044262893428,9.891318206376747,
indent,1.779224871309612,1.264127484682397,11.136592745780945,10.113106191158295,13.90505086941541,13.90505086941541,10.148296302821139,
courier,1.9494844925751589,0.3474698179667124,11.913078904151917,6.4416149109601974,13.874500181353664,13.874500181353664,10.166314170543526,
deception,2.811616081209659,1.5185706447849994,12.349022209644318,10.114407002925873,14.35453983605488,14.35453983605488,11.483812728705253,
