word,LNC1F-SUM,LNC1F-MIN,LNC1F-MAX,LNC2F-SUM,LNC2F-MIN,LNC2F-MAX,RLNC2F-SUM,RLNC2F-MIN,RLNC2F-MAX,None
disparity,13.475861387590252,0.7719671787481893,0.9753379725628869,13.030758780878369,0.6617909079122214,0.9753379725628869,6.179859153805294,0.09195940932048907,0.6451063213057981,
creditor,14.135135643530802,0.8912485171358874,0.9730637993695234,13.612956029408247,0.8171322570659365,0.9659378337465897,6.093054309560035,0.1569828286422379,0.6023654151365194,
imagery,13.49743357404245,0.7077810485613494,0.9817694706231785,12.931158839563857,0.5882697739957479,0.9673490201562732,7.1986317062383005,0.13291662635039136,0.7136031258875202,
tenure,12.31686622797765,0.5112709463378267,0.9530919747649647,11.617786997732207,0.42878355183593686,0.9530919747649647,5.182068752650701,0.15362415775954597,0.6283800210787817,
jaw,14.204871250693992,0.8572943922001698,0.9898930917676663,14.113080821502372,0.8464984651080487,0.9898930917676663,6.252466037931652,0.2310304510038934,0.6470240083573092,
gulp,14.209672927095978,0.8821126703128453,0.9805804518337137,13.986177405790956,0.8469577768623501,0.9805804518337137,5.427967311032091,0.03956017359994013,0.6194958158331468,
hatchet,14.020092271970698,0.8504928654086577,0.9755826222818034,13.70751737171876,0.8246680210544068,0.9755826222818034,6.637421135158385,0.2728308668386079,0.6398803063795503,
novice,10.186614762198896,0.021955984509352877,0.9518467217126324,10.153557054422905,0.12412720683768996,0.9518467217126324,4.280084225396982,0.06548660303685938,0.47059603549208795,
cigar,12.974787982103797,0.7780664147779013,0.9672992849975112,11.844199892239464,0.6767641711939186,0.916653736337874,6.036438705447862,0.18709691490605662,0.7726058425353396,
critical,12.717414379828625,0.6611822214167817,0.9604223443777475,12.306294864998195,0.5731878300105849,0.9604223443777475,6.520193134629418,0.09276076706715697,0.6796442635484643,
gig,8.374540118356949,0.07874936157610257,0.9771603401903005,8.237565750671191,0.11681033651659678,0.9677667734909345,5.601739280325319,-0.12899871230160853,0.557150628699276,
lullaby,14.214122582239998,0.892041308265187,0.9913935291454758,14.053154912675062,0.8719067319238468,0.9826168177532779,6.866833798256475,0.20373591664008983,0.6749197172046179,
bison,14.233887977215227,0.9162350003884279,0.9796368817755822,13.824417662786512,0.887028389765694,0.9728298628369613,7.958573298610359,0.2404322117522154,0.6322532396159088,
enthusiasm,14.14581930319196,0.8782361595453445,0.9852190594902345,14.00936501957898,0.8371629497964254,0.9852190594902345,6.576452544198663,0.16730311245795226,0.7207652702293379,
streak,14.227572420390793,0.8856248630765805,0.9796003282413199,14.07625351484279,0.8441404717185327,0.9796003282413199,7.731727962020277,0.34014453289851154,0.7906499272916676,
inclusive,9.373136905832379,-0.013151112072711246,0.9695284354900046,9.387983519320308,0.04717302354203878,0.9695284354900046,6.264629481297346,0.1300711444328575,0.6160702747276329,
heinous,14.496542617185298,0.9288684073119192,0.9941873402435811,14.298472395418898,0.8967803582773973,0.9941873402435811,7.013271030390043,0.16541534914026212,0.6487790948608169,
perspiration,14.380931145244135,0.9230459121077785,0.9920704279248427,14.265828709062088,0.9048465107864783,0.9920704279248427,6.506330186764888,0.21288764677105354,0.6736796607047172,
management,13.147403111283843,0.7252816613808123,0.9673255130702101,12.020612303521869,0.5731837262202247,0.9488386899719617,6.444163863458043,0.21056345917115082,0.7575617858615793,
gesture,13.384314544216954,0.7211861313041168,0.9710902602504383,13.097382264772106,0.6632323636654393,0.970387348758596,5.201060166010468,0.1446354184520564,0.7271594745558301,
rotten,13.1914131638674,0.7880297092569049,0.9610259177263563,12.979849169468736,0.7772829500847731,0.9610259177263563,6.2616756860857805,0.11183301015024072,0.6341033732976348,
memorable,12.829947427353837,0.7234630077868406,0.9840487545201813,12.429629009636605,0.6175039701992223,0.9722775328560873,5.580012220861815,0.027830238331016943,0.6591411767914146,
vegetation,13.959319607134086,0.8630846072253874,0.9871634400243153,13.269681548065908,0.7379765372986349,0.9778649433026309,8.049133099906,0.27792717741953843,0.7394005358896788,
expose,13.068307027324192,0.699667531892151,0.961423014071464,12.878335490263105,0.6833658234823038,0.961423014071464,5.887427465361085,0.1734137035049783,0.6179486096945653,
frivolous,13.759867217437746,0.8041707414368401,0.981080482638731,13.57532335486094,0.7776239404643759,0.981080482638731,5.924189981219006,0.05031005935641508,0.6829092487925704,
recourse,13.381517696298944,0.702813473386464,0.9811525745311771,13.315767272764974,0.7028134733864642,0.9811525745311771,6.9263100535575965,0.2702053081236233,0.5876679954873107,
definitely,9.368545508129218,0.08870392741781896,0.9743456576833817,8.995111280436763,0.08237144016775222,0.9743456576833817,2.4529613869393185,-0.1758912267259234,0.6267677863797563,
swap,10.60816534043455,0.42965612630195027,0.9405328351780243,10.233501553710399,0.4062708969267026,0.9405328351780243,6.143137778371845,0.07659583301647033,0.7383129402869474,
simplify,13.625252258555228,0.8238754923352292,0.9759067472728967,13.08227796476531,0.7518745343089581,0.9616383684801463,6.78942367949912,0.04273001088241957,0.796637808132785,
fashion,12.862888771200945,0.7213262923783468,0.9538084978497733,11.92601214774059,0.5992189373567396,0.9538084978497733,5.702651481908175,0.10545688033835887,0.6534048924207292,
