,word,slice_1800,slice_1840,slice_1880,slice_1920,slice_1960,slice_2000
1905,unchecked,44,165,144,142,156,49
1906,aspect,1453,3796,3502,4120,5146,1124
1907,meet,8485,25616,33705,32783,30248,9511
1908,defile,202,444,266,162,138,38
1909,midnight,1140,3102,2915,3046,2752,902
1910,evangelical,77,528,315,202,487,343
1911,flesh,971,3769,3128,3735,4714,1306
1912,sheath,84,180,251,408,288,93
1913,splendor,474,1909,1396,648,459,129
1914,intervention,149,614,662,1204,1735,558
1915,compensate,252,595,480,684,903,243
1916,turnip,76,411,258,264,199,79
1917,mission,573,2842,3142,3786,5995,2087
1918,occupy,2535,7693,7524,5464,4258,957
1919,exclaim,3532,10834,11298,4814,2036,338
1920,performer,141,278,338,608,1228,307
1921,feign,203,428,404,203,356,142
1922,venomous,57,180,152,133,117,36
1923,tawdry,32,72,138,138,97,31
1924,felon,138,299,183,113,169,109
1925,venerable,764,1962,760,436,426,124
1926,brilliance,29,87,190,527,464,162
1927,dependence,388,918,625,608,880,124
1928,hurt,669,2853,6581,8685,10639,3279
1929,dignitary,84,254,186,255,278,77
1930,virgin,418,1453,1263,1426,1834,548
1931,doctor,2282,10529,17034,20334,18120,5125
1932,incense,276,645,494,413,501,166
1933,sanction,847,1740,1121,1384,1610,514
1934,objectionable,109,419,540,343,185,42
1935,acquit,262,493,434,436,358,73
1936,gutter,60,298,381,589,538,203
1937,finger,1522,6733,10052,13995,15558,5986
1938,overlook,587,1659,2074,2151,2216,823
1939,disappoint,479,1447,1581,1275,1379,434
1940,afflict,493,896,640,456,618,161
1941,misunderstanding,73,261,589,668,560,111
1942,staircase,154,662,812,779,988,415
1943,dearly,193,838,760,382,395,111
1944,horrid,463,1059,1017,519,216,80
1945,quote,831,2618,3381,3762,3675,776
1946,commotion,270,659,564,422,459,126
1947,face,8275,45309,65747,70179,68238,21687
1948,album,74,102,156,347,1907,1051
1949,dishearten,86,262,195,115,92,31
1950,adultery,34,153,127,310,397,87
1951,comparison,963,2320,2531,2422,2322,707
1952,temptation,812,2485,2238,1100,955,265
1953,testimony,1428,2888,2857,3378,2486,414
1954,lake,1923,6448,7605,7761,8200,2928
1955,tension,31,344,707,2569,3760,884
1956,year,16720,62128,91664,135429,161380,52761
1957,refrain,287,903,1220,1169,769,180
1958,establishment,1750,3740,3281,3195,3086,493
1959,graceful,790,2612,2062,1138,968,318
1960,massacre,259,706,667,551,805,242
1961,jelly,174,458,401,513,592,240
1962,bide,53,241,430,192,167,41
1963,miserable,1155,3257,2514,1651,1509,447
1964,embarrass,146,399,430,697,1007,233
1965,unhappy,1241,2546,2508,2375,1853,368
1966,fireman,28,330,870,1157,800,166
1967,warehouse,77,314,648,1116,1251,503
1968,sheep,428,1714,2804,2962,2232,587
1969,resort,1137,2467,2573,2267,2527,1111
1970,cupboard,43,293,466,663,607,203
1971,dupe,165,313,228,175,158,57
1972,pageant,118,247,338,346,512,82
1973,census,111,329,699,803,745,245
1974,modem,43,83,66,80,504,146
1975,depose,74,196,229,233,298,59
1976,streamer,47,155,138,246,197,54
1977,thorough,490,1977,1894,1288,922,229
1978,illiterate,52,155,336,383,388,86
1979,agreeable,1161,2978,2090,979,473,67
1980,nurse,746,2817,4759,5199,6087,2084
1981,silent,2201,7276,8308,7392,7167,1905
1982,jail,371,1360,2053,4692,4160,915
1983,invoke,210,625,542,768,825,172
1984,hang,2880,9566,12010,15037,16296,5481
1985,declaration,1057,2511,2465,2675,1308,336
1986,rapture,470,991,830,285,300,93
1987,ass,226,593,630,780,3463,1583
1988,unpopular,91,265,358,477,471,70
1989,anniversary,152,388,502,1131,1384,550
1990,preparatory,228,515,585,559,249,62
1991,autobiography,37,250,307,386,609,135
1992,tide,1051,3438,3464,3043,2108,595
1993,examine,2309,5225,5266,5442,5645,1774
1994,spurn,291,489,265,181,202,43
1995,presuppose,38,170,198,227,268,26
1996,amass,58,194,164,168,348,101
1997,paltry,177,348,258,133,143,56
1998,evasion,82,200,308,442,361,48
1999,dislodge,65,200,240,240,263,79
2000,frame,1829,4907,4504,4854,6289,2399
2001,theft,91,385,586,583,924,375
2002,oak,891,2395,2332,2492,2479,1087
2003,calculate,1535,2502,1864,2153,2269,629
2004,sympathetic,87,777,1893,1613,1399,300
2005,grammar,387,706,1162,663,776,120
2006,infidelity,132,469,167,171,207,58
2007,horizontal,283,452,717,677,779,184
2008,surname,31,120,131,84,148,68
2009,number,7245,19397,24972,28447,33245,9741
2010,molestation,64,117,77,43,48,26
2011,transient,287,548,366,346,353,102
2012,proverbial,87,203,207,157,150,73
2013,occurrence,697,1658,1274,810,625,165
2014,pictorial,26,179,288,292,259,57
2015,parting,629,1379,1216,547,348,83
2016,cartridge,36,225,620,689,514,135
2017,end,7412,26805,40126,49662,50788,15745
2018,postulate,35,178,217,285,362,43
2019,naturally,1686,4673,6536,6096,3795,828
2020,image,1911,4904,3121,3552,11078,4264
2021,credit,2476,4578,5206,8401,8095,2182
2022,humorous,73,421,946,774,403,80
2023,mutter,605,2271,2875,2879,2692,946
2024,diagram,26,170,664,676,847,199
2025,bubble,205,801,1057,1240,2031,812
2026,triangular,55,150,209,253,333,84
2027,pulse,379,1241,1339,1224,1764,756
2028,flaunt,47,231,310,211,225,86
2029,unparalleled,118,312,263,246,180,52
2030,aside,2761,7803,8700,6601,5917,2011
2031,intention,1870,3957,4642,4212,3356,727
2032,redden,92,359,429,346,318,99
2033,prominence,49,363,706,416,442,109
2034,brute,406,1300,1705,844,608,105
2035,emission,128,55,84,115,1232,531
2036,inattention,56,105,68,58,87,36
2037,ginger,61,373,237,481,1005,510
2038,heavenly,777,2246,1272,639,465,156
2039,mattress,45,176,331,667,1082,415
2040,conveyance,225,408,342,184,70,28
2041,obligatory,85,155,151,161,211,64
2042,vanish,873,2291,3054,3038,2930,925
2043,attic,90,338,648,727,801,437
2044,nobleman,270,780,545,272,191,65
2045,squadron,239,786,773,1047,582,180
2046,tack,97,453,651,949,1000,252
2047,braid,88,549,641,938,1016,449
2048,fine,4545,14796,19082,20837,17583,5742
2049,confused,435,1339,1337,1808,2178,633
2050,bang,53,509,995,1962,2502,1030
2051,diplomacy,72,444,789,932,891,189
2052,epidemic,94,229,436,613,708,334
2053,rescue,957,2230,2954,2663,2917,1021
2054,economist,112,620,457,1355,2869,475
2055,assistance,1299,2927,2893,2874,3028,712
2056,dent,37,672,458,772,835,341
2057,brawl,55,123,111,312,280,88
2058,convertible,60,202,57,342,565,227
2059,grapple,193,527,509,356,463,211
2060,summit,749,2069,1416,1258,1742,447
2061,nursing,40,275,417,584,1316,561
2062,latch,63,292,399,467,627,244
2063,buttress,30,146,227,264,270,62
2064,starch,29,328,452,519,435,116
2065,reply,8479,22383,26181,15862,10317,2506
2066,razor,49,190,266,716,865,318
2067,momentary,489,960,895,655,539,90
2068,hurl,371,1069,1316,1455,1037,282
2069,conciliatory,51,206,232,299,261,26
2070,bend,1576,5845,7102,6828,6526,1969
2071,adjust,349,1078,1772,2739,3114,1263
2072,wither,514,1157,847,707,622,164
2073,cash,328,895,2340,5396,5421,1833
2074,niche,74,308,303,338,607,258
2075,musician,172,572,1040,1712,1865,711
2076,deliberate,628,1206,1168,1438,1288,262
2077,abreast,48,281,444,474,291,53
2078,loyal,232,1175,1850,1704,1546,405
2079,chord,255,670,766,618,672,143
2080,volcanic,50,493,479,367,379,186
2081,skull,261,1031,1194,1949,2122,798
2082,hostage,59,198,157,270,2072,291
2083,location,131,559,933,1862,3120,1518
2084,exuberant,48,191,201,239,338,90
2085,immortalize,64,127,88,70,83,27
2086,exhortation,165,370,233,177,180,37
2087,inquisition,114,412,218,195,186,47
2088,maintain,2116,6117,6825,8979,8692,2082
2089,squat,79,274,642,1382,1638,622
2090,icicle,34,151,140,142,137,66
2091,personality,53,635,2661,4375,3566,952
2092,snug,194,485,409,386,330,156
2093,burden,790,3783,4627,4058,3464,741
2094,quibble,37,65,94,148,136,51
2095,approximation,53,157,131,179,182,41
2096,originally,652,1611,1688,2319,2415,599
2097,decisive,360,1095,1008,1209,970,163
2098,transatlantic,53,98,162,359,189,61
2099,stability,195,405,525,1216,1645,480
2100,postpone,206,866,903,1475,1068,171
2101,lava,101,447,450,360,437,163
2102,theory,1456,7382,8591,8844,9382,1926
2103,upright,484,1245,1364,1327,1322,514
2104,extreme,1333,3971,4068,3792,3406,952
2105,humble,1909,4471,2900,1692,1078,399
2106,shovel,62,341,778,1196,1006,422
2107,sandal,61,168,602,382,604,343
2108,pensive,192,444,274,138,136,56
2109,unwritten,40,198,227,218,150,39
2110,lame,153,540,892,634,499,213
2111,chamber,2240,6291,4633,5094,3896,1013
2112,insinuate,213,396,327,207,189,60
2113,feud,123,319,423,515,540,130
2114,unsuitable,47,149,114,166,142,49
2115,loo,35,105,100,274,136,34
2116,lip,4241,12505,13626,12512,10197,4010
2117,tread,1032,1997,1466,920,624,206
2118,admit,3916,9527,11045,12113,9914,2719
2119,circuit,283,813,1297,2580,2350,719
2120,absorb,556,2649,3264,3348,2839,763
2121,incredible,288,755,1092,1576,1805,530
2122,exhibition,592,1654,1907,1724,2126,936
2123,influx,49,192,169,270,352,90
2124,achievement,347,1124,2100,2838,2664,709
2125,pass,13010,38942,43637,35710,30968,9097
2126,reception,615,1861,2040,2300,1791,566
2127,canvas,84,912,1539,1899,1906,651
2128,petrify,68,148,119,107,133,33
2129,consume,720,2004,1667,1949,2431,834
2130,thriving,60,186,130,128,166,68
2131,conductor,169,722,1307,1793,1088,202
2132,lingo,120,39,80,117,127,46
2133,wavy,37,177,198,207,280,164
2134,functionary,114,459,234,167,153,27
2135,revolve,249,774,837,938,736,206
2136,incapacitate,33,101,123,139,149,45
2137,socket,113,360,276,415,554,162
2138,illegitimate,35,131,180,261,295,56
2139,comfortable,623,2935,3846,3494,3961,1606
2140,boom,47,411,1074,2848,2915,915
2141,unnatural,560,1241,841,540,601,184
2142,prevail,2004,4117,3820,2900,2073,393
2143,emphatic,134,477,639,469,240,50
2144,seduce,224,283,105,305,600,233
2145,fiction,408,1188,2049,1628,2583,1167
2146,morsel,105,418,325,209,190,78
2147,tenderness,1081,2266,1875,1032,579,128
2148,bandit,108,316,433,1198,1189,126
2149,neighborhood,501,2762,2877,2567,5185,2433
2150,exactly,1195,4242,7048,9428,10489,3783
2151,barefoot,29,111,141,350,642,220
2152,exhibit,2310,4637,3066,2705,2362,832
2153,guilt,1130,1880,964,1430,2379,611
2154,prelude,112,210,342,365,290,75
2155,suspense,322,823,772,557,347,92
2156,garb,369,716,642,402,323,96
2157,natured,317,1025,1054,580,343,95
2158,spree,31,113,145,221,244,59
2159,discharge,1386,3176,3060,2363,1698,248
2160,ethical,58,257,891,715,1043,314
2161,ballast,36,142,191,197,153,44
2162,removal,509,1409,1607,1405,1101,226
2163,bloodhound,50,112,105,147,139,27
2164,wonderful,1054,4372,7895,6768,5386,1582
2165,expect,5139,14152,19546,25222,24774,6375
2166,obedience,826,2141,1439,663,583,118
2167,detest,183,364,410,343,392,67
2168,abolitionist,82,369,220,172,171,86
2169,fancy,2738,9425,8077,3858,2643,774
2170,onion,173,642,454,632,1555,1161
2171,bright,4052,13176,10799,9769,10007,3485
2172,pretext,280,698,549,399,337,44
2173,officer,4927,13363,18322,17486,13465,4142
2174,astonished,179,735,783,432,287,54
2175,stroll,182,1039,1482,1726,1580,570
2176,ex,319,1106,2503,3797,3206,1207
2177,growth,997,4411,5599,5439,8646,2350
2178,cone,149,381,479,799,950,361
2179,depend,2371,5664,6321,7822,7493,1819
2180,hostile,699,1888,1858,1606,1857,400
2181,nigh,716,1828,1612,706,233,28
2182,lazy,143,833,1405,1275,999,395
2183,dam,200,940,1135,2233,1618,336
2184,surmise,167,486,698,485,322,95
2185,trust,3946,9975,11873,8762,8761,2872
2186,craft,285,1245,2244,2849,3229,966
2187,nectar,61,171,260,99,127,53
2188,huge,849,3059,4079,6942,9024,3151
2189,lucid,110,248,226,221,233,52
2190,fashionable,680,1935,1385,1042,852,220
2191,caterpillar,35,249,412,215,214,150
2192,drawing,626,2525,3809,2877,3358,746
2193,jeer,66,222,495,496,254,52
2194,disabled,58,213,264,323,638,251
2195,set,7664,25079,33869,41268,42154,13082
2196,packet,293,491,557,579,790,273
2197,gardening,34,283,322,154,282,168
2198,taxation,446,1397,1598,1515,593,47
2199,reader,4055,8814,6647,5260,5145,1980
2200,twin,104,600,1548,2009,2848,1343
2201,emotion,2151,5322,5132,4605,4257,1243
2202,hood,130,870,1088,1261,2266,693
2203,efficiency,136,720,2109,2461,1991,476
2204,scythe,59,202,186,195,123,54
2205,displeasure,347,691,507,275,291,62
2206,winter,2035,8153,9735,9909,8806,2959
2207,giant,505,2010,2615,3251,4878,1915
2208,defense,73,1322,3003,13169,13668,2940
2209,detain,647,1297,1092,468,415,130
2210,uncover,153,434,542,751,1055,459
2211,lantern,212,914,1751,1689,941,354
2212,spring,4364,15211,17201,14187,11772,3775
2213,aware,1504,3747,4263,5762,7038,1772
2214,common,7227,17229,15866,15095,13037,3343
2215,rave,244,431,513,358,406,188
2216,barber,88,328,865,1187,910,240
2217,supporter,194,613,833,1492,2607,565
2218,redress,306,621,369,209,254,29
2219,deaf,437,1074,910,958,858,240
2220,moderation,257,485,455,323,317,67
2221,consequence,4463,7893,5751,3948,4143,1085
2222,display,2095,4545,3933,4046,5991,2228
2223,commit,1910,4805,4367,4353,5130,1326
2224,refer,1845,5395,6167,6174,6336,1815
2225,hobby,27,161,231,712,694,262
2226,stretch,1311,4396,6346,7053,7446,2972
2227,prospect,1736,3989,3542,4224,3957,967
2228,wheat,338,1406,2488,4286,2439,469
2229,mumble,30,154,382,1219,1432,404
2230,exploit,330,653,877,1453,1666,419
2231,scholastic,49,193,210,232,271,28
2232,trial,2463,6258,5553,6895,7373,1838
2233,die,7788,22549,23794,25747,28282,9172
2234,sensibility,721,1222,621,366,663,196
2235,legislation,766,2651,4102,5056,4095,679
2236,hill,3924,11800,14391,13271,11740,3474
2237,antagonist,386,852,500,315,241,39
2238,pompous,98,261,280,344,279,67
2239,boat,2971,11640,14104,11942,9017,2934
2240,distraction,170,218,278,297,551,294
2241,flutter,299,1448,1787,1345,1296,486
2242,ravage,242,480,488,435,513,173
2243,aristocracy,427,1286,890,725,460,69
2244,loathsome,161,365,204,141,149,29
2245,agitated,114,201,124,99,124,30
2246,deduct,114,197,204,388,294,88
2247,verb,64,187,439,525,569,68
2248,impenetrable,174,489,401,282,292,80
2249,varnish,49,184,239,382,390,48
2250,mail,353,1731,3210,5074,5329,3137
2251,moose,32,249,453,477,408,180
2252,precinct,155,487,536,646,736,157
2253,retrospective,42,74,83,55,280,118
2254,deterioration,26,143,226,350,461,70
2255,distaste,36,115,211,503,475,58
2256,hall,1911,7478,12150,15201,12521,3842
2257,tardy,121,227,226,124,86,33
2258,mournful,578,1286,681,415,324,84
2259,table,3672,15272,22268,28659,28057,9513
2260,benefactor,314,639,469,258,212,66
2261,coercive,30,60,52,116,176,27
2262,congratulate,235,991,1230,917,644,163
2263,pail,37,461,997,894,508,108
2264,thief,301,1561,2673,1685,1657,521
2265,sweet,4170,13381,12943,7712,7172,2964
2266,lodge,752,3171,2956,2326,2434,648
2267,contrive,732,1480,931,675,406,57
2268,routine,105,567,936,2566,3119,1092
2269,sly,143,522,652,675,666,177
2270,oasis,29,125,203,281,295,132
2271,crutch,55,281,399,434,396,114
2272,unpaid,35,159,197,309,282,96
2273,whip,602,2185,2665,3425,3036,1100
2274,happen,3094,9499,18341,29679,35390,11044
2275,fond,1275,3825,3821,1998,1398,344
2276,gown,273,1210,2973,2468,1885,608
2277,pamphlet,318,824,801,940,668,126
2278,bruise,220,732,991,925,1335,531
2279,addict,95,189,174,463,1419,400
2280,religion,3743,9837,7313,5892,5356,1329
2281,banking,469,957,1065,2444,1692,338
2282,test,621,2958,5410,9999,16105,5687
2283,dwelling,1398,2804,1898,908,584,106
2284,folk,1072,3278,7295,6967,5831,1960
2285,partisan,389,1258,1351,1104,919,163
2286,gully,45,149,532,365,287,149
2287,ingredient,214,473,320,531,1476,914
2288,reef,82,575,672,658,620,216
2289,scornful,129,393,590,340,193,27
2290,rod,529,1891,1889,1980,2473,590
2291,maniac,190,291,195,203,304,60
2292,predominant,153,278,221,220,243,50
2293,characterize,373,1318,1440,1515,1723,430
2294,deduction,187,431,443,698,776,167
2295,faculty,1908,3757,2902,2111,3009,766
2296,benefit,2351,4905,5031,6329,8812,2926
2297,cultivation,781,2100,1177,690,399,58
2298,runaway,102,334,465,379,519,179
2299,mask,337,987,1642,2074,3166,1147
2300,botanist,76,179,159,151,161,31
2301,wizard,99,348,238,300,702,418
2302,grin,193,916,2492,6310,6267,1994
2303,introduce,2403,5733,5985,6109,6732,1741
2304,openness,38,64,96,68,373,100
2305,sincerely,388,877,940,884,505,101
2306,fugitive,484,1692,1082,723,561,169
2307,twine,183,656,472,280,319,124
2308,legal,975,3807,3759,5604,7597,2061
2309,decompose,33,229,173,169,130,54
2310,discretion,732,1110,1028,824,648,124
2311,wooden,449,1731,2544,3474,4507,1583
2312,jaded,38,127,160,90,137,46
2313,strip,492,1861,2473,4080,4834,1630
2314,noise,1244,3263,4323,5679,5675,1885
2315,aerial,51,194,344,798,543,241
2316,overrun,88,323,265,379,444,105
2317,submit,1551,3438,3711,4014,2642,516
2318,inscribe,181,455,428,332,399,119
2319,loon,32,130,195,172,281,52
2320,hover,401,1038,1089,1047,1500,625
2321,perjury,90,223,181,388,241,28
2322,discomfort,59,414,701,684,798,268
2323,disobedient,51,117,116,46,61,26
2324,rifle,829,2874,3360,4577,4102,1042
2325,precipitous,100,297,237,184,166,41
2326,superior,2154,5366,4563,3841,3053,730
2327,vertical,176,305,552,809,1176,347
2328,goody,80,97,237,267,376,115
2329,crib,42,277,287,429,614,231
2330,contradictory,166,372,325,380,542,114
2331,alert,93,495,1454,2053,2642,797
2332,accuse,840,1841,2514,3789,4180,946
2333,clinch,67,275,503,851,287,69
2334,menace,236,639,1315,1951,923,192
2335,flattery,286,540,440,288,220,57
2336,rigor,103,255,245,227,329,110
2337,sweeten,81,257,261,172,257,92
2338,lot,1017,4253,10617,18898,29352,11297
2339,seasoning,38,122,53,74,164,74
2340,patriot,879,1374,1175,936,504,189
2341,reasoning,975,1859,1200,997,1008,166
2342,pocket,1196,5551,8451,9875,8513,3073
2343,clan,107,349,790,697,1451,464
2344,divide,1869,4942,5565,5069,4444,1271
2345,franchise,75,338,885,573,790,437
2346,map,448,1541,3045,3572,4681,1830
2347,assimilate,100,315,382,359,316,89
2348,tamper,61,170,201,247,304,71
2349,couch,709,1722,1766,2343,3096,1179
2350,mechanical,448,1364,1882,2743,1818,437
2351,importation,309,457,536,364,131,27
2352,witch,327,1103,1305,971,1338,688
2353,associate,1287,3323,4027,5238,6403,1808
2354,drunken,182,735,867,976,944,251
2355,dilate,159,506,320,204,182,65
2356,excellence,942,1855,1066,500,742,168
2357,anchor,517,1729,1854,1561,1550,744
2358,terror,1636,4276,4213,3340,3049,912
2359,companionship,115,720,1023,665,333,88
2360,principle,8591,18047,11471,10530,7097,1154
2361,tailor,233,697,948,1138,1131,379
2362,sink,2629,7655,7837,7297,6735,2201
2363,activity,808,2940,5030,10923,11748,3050
2364,altogether,1753,5120,5228,3176,2389,518
2365,stranger,3716,7792,7210,5253,4357,1511
2366,guy,256,1580,1561,6743,15696,9368
2367,theorist,55,223,208,225,478,152
2368,inflammatory,37,88,75,97,219,99
2369,convert,892,2711,1923,2449,2769,640
2370,hysterical,39,212,601,973,738,148
2371,search,1744,5867,8145,7840,10024,3856
2372,straight,760,3668,8982,10964,10926,3843
2373,pray,3052,7347,6000,3962,4268,1430
2374,misplace,78,152,151,150,266,90
2375,pungent,37,165,235,320,286,120
2376,atrocity,106,290,235,288,325,104
2377,emptiness,37,142,249,611,659,154
2378,rectangular,27,67,148,293,461,124
2379,stun,72,372,381,496,780,274
2380,mediocrity,67,150,212,189,220,58
2381,palace,1288,3896,3995,3483,3505,804
2382,proceed,5270,9647,6946,5605,3929,781
2383,trough,66,306,421,586,464,115
2384,quivering,115,277,292,217,152,42
2385,presumptuous,172,269,165,117,122,26
2386,supposition,525,1107,570,265,149,28
2387,distribute,478,1445,1986,2604,2071,498
2388,crevice,138,496,349,405,319,112
2389,deafen,70,196,205,244,231,79
2390,sky,2518,8092,9336,9520,10751,3911
2391,overhear,251,650,787,594,655,190
2392,anguish,629,1913,1356,1005,1133,218
2393,gasp,268,1233,2915,2783,2399,828
2394,wondrous,237,926,742,214,311,93
2395,ritual,30,226,251,1037,2510,721
2396,grub,72,215,592,530,234,82
2397,adversary,377,733,625,441,730,166
2398,aptitude,115,202,345,329,245,65
2399,hushed,89,279,297,347,316,96
2400,nail,408,1466,1994,2729,3147,1277
2401,delightful,974,2346,3000,1285,687,177
2402,gory,75,156,69,126,126,47
2403,exaggeration,197,488,645,459,357,86
2404,habitual,460,832,617,459,302,69
2405,bison,38,88,313,85,164,48
2406,mischievous,267,771,644,276,280,108
2407,double,1346,6200,5393,7347,9024,2984
2408,stream,2771,8571,8899,7059,5294,1667
2409,burst,1947,5184,5181,5273,4607,1451
2410,work,14288,57024,88186,95087,105722,33837
2411,pony,88,752,2783,1563,1204,242
2412,hag,86,230,234,275,306,43
2413,indefinable,34,211,224,158,75,26
2414,captor,152,411,416,326,315,90
2415,dog,1956,7503,12213,14066,14099,6291
2416,depress,150,442,420,528,690,146
2417,turret,99,279,348,375,424,108
2418,lift,1879,7003,10851,11459,11322,3964
2419,facility,775,1607,1731,3569,4697,1418
2420,laborer,365,2531,2096,1231,647,207
2421,colored,199,2349,2802,2965,2381,747
2422,foresee,456,1003,1159,1139,843,114
2423,borough,86,185,535,993,565,59
2424,priest,1552,4384,5037,4188,5027,1189
2425,durability,53,125,74,160,168,54
2426,township,96,366,367,311,562,109
2427,queer,135,1387,3758,3183,787,97
2428,allowance,328,977,1296,1321,945,154
2429,causeway,103,189,110,95,139,67
2430,architectural,81,407,676,627,1032,284
2431,gentleman,6401,18966,14983,8719,3867,796
2432,overshadow,138,442,315,286,291,93
2433,evidence,2684,6840,9119,10266,11203,2863
2434,psyche,36,138,168,153,453,187
2435,manifesto,45,115,206,273,276,39
2436,esteemed,157,406,241,123,136,62
2437,relate,2447,4923,4710,3638,5925,2030
2438,untold,76,264,330,247,171,64
2439,deficiency,461,1032,640,1031,851,156
2440,evade,230,671,847,783,579,102
2441,darling,226,2111,2489,3665,2010,415
2442,booby,48,78,57,141,141,37
2443,selfish,743,2297,2244,1134,771,233
2444,different,6281,15524,18587,20213,25998,8347
2445,representative,1357,3661,5835,9582,5632,814
2446,interval,1227,3221,3185,2458,1540,310
2447,brow,2220,5657,3688,2461,1740,769
2448,ton,388,1099,2574,5786,3403,729
2449,stifle,254,810,891,775,779,259
2450,scour,111,330,302,346,323,171
2451,restraint,671,1468,1398,1254,1493,240
2452,intrinsic,212,511,359,332,471,72
2453,fur,434,1989,3557,3658,2705,666
2454,squabble,29,102,138,293,270,69
2455,stack,50,273,675,1747,2876,1226
2456,depressing,30,189,314,356,479,113
2457,mischief,747,2128,1610,514,474,148
2458,criticism,492,2140,4004,4051,3717,581
2459,carpet,230,1936,1964,1925,2240,964
2460,series,1009,3547,5391,7173,9876,3319
2461,uninterrupted,208,317,203,240,202,55
2462,penalty,664,1624,1547,1689,2028,577
2463,dotted,35,71,112,149,98,41
2464,revenge,1165,1995,1638,931,1164,367
2465,quadrant,35,58,79,30,118,54
2466,miniature,201,622,687,918,1084,353
2467,pudding,181,607,409,445,380,139
2468,fraud,423,1295,1283,1040,1354,596
2469,sameness,36,101,104,98,165,32
2470,authority,4521,10658,10740,14597,11593,2149
2471,low,4865,19054,25590,27499,27708,9200
2472,forgiveness,339,977,593,381,551,230
2473,regard,6534,18540,18335,12929,7871,1397
2474,captivity,270,537,380,269,336,77
2475,tantalize,30,109,117,121,151,54
2476,strawberry,122,990,571,614,755,362
2477,instantly,1650,3652,4180,2834,2273,804
2478,master,5591,15374,14819,9352,8437,2691
2479,runner,50,302,785,1063,1563,666
2480,deuce,63,372,422,169,80,28
2481,prank,92,231,321,162,181,96
2482,confusion,1323,3033,3215,3431,2943,613
2483,grimace,48,225,260,598,839,365
2484,generalize,31,106,136,219,250,50
2485,mockery,296,676,588,405,405,79
2486,imbecile,38,228,169,180,100,31
2487,observatory,36,283,345,339,575,211
2488,situation,3507,4795,10340,17360,13217,3001
2489,model,931,2477,2980,4922,9650,3909
2490,devoted,910,2028,2008,1501,1035,297
2491,smuggler,56,185,176,162,283,145
2492,dainty,113,775,1432,499,225,97
2493,abode,793,1598,862,245,145,37
2494,think,23934,85089,122216,136984,152662,44343
2495,confiscate,56,230,281,392,393,85
2496,dismal,292,1068,850,522,551,109
2497,gem,397,1175,911,495,543,300
2498,subtle,268,1099,1840,1553,1917,630
2499,orderly,155,694,1279,1590,1170,244
2500,agreement,303,1038,3033,10336,8206,1232
2501,annoy,187,1054,1239,1488,1126,338
2502,comfort,2251,6848,6947,5001,4475,1566
2503,indirect,202,469,576,788,631,126
2504,contribution,282,1041,1883,3346,3934,757
2505,gospel,1103,3288,1591,723,934,463
2506,century,1803,7991,13689,14168,18362,5191
2507,disturb,1201,3478,3702,3552,2689,596
2508,writing,1838,4267,5147,4456,4899,1253
2509,supplement,45,280,945,1256,1263,477
2510,concur,319,486,288,337,364,76
2511,bondage,296,859,485,240,220,49
2512,clue,111,413,951,1203,1652,664
2513,anew,344,859,767,530,387,103
2514,defection,57,131,148,201,292,44
2515,frequent,1309,3354,3036,2131,2053,649
2516,nostril,195,608,781,1005,958,331
2517,feast,710,1862,2281,1332,1390,366
2518,unprofitable,186,300,284,237,141,31
2519,mess,92,486,1077,2833,3322,1313
2520,ammunition,186,579,1146,1280,759,238
2521,terrestrial,85,255,307,224,293,84
2522,poke,231,363,783,1513,1819,678
2523,villager,113,374,345,527,802,397
2524,surface,1527,5922,7171,8042,9830,2895
2525,scowl,109,455,699,1083,869,406
2526,creative,80,507,873,1689,2122,1072
2527,forte,64,147,87,65,108,41
2528,harm,853,2823,3931,3013,3171,910
2529,outcast,250,578,428,272,220,66
2530,biographer,230,493,512,308,391,111
2531,mountainous,117,228,263,355,247,83
2532,gallant,963,2009,1408,805,315,56
2533,adoption,606,1325,1268,1251,1071,329
2534,summary,261,582,678,888,867,227
2535,confirm,1168,2493,2139,2557,3801,1094
2536,semicircle,44,95,142,153,156,34
2537,abide,417,1170,1405,912,785,181
2538,smuggle,45,142,286,373,499,135
2539,grass,909,4565,6216,6757,6543,1961
2540,proclaim,609,1726,1835,1826,1809,475
2541,list,937,2811,5052,9410,11558,4092
2542,pound,1687,4022,5891,9292,8737,3237
2543,exceed,1181,2447,2187,2277,1853,439
2544,wasteful,37,153,258,390,295,50
2545,vindication,161,321,249,200,143,31
2546,youngster,63,260,934,1850,1682,268
2547,overflow,305,971,1002,751,644,222
2548,defendant,149,477,992,1943,2129,354
2549,promote,1193,2214,1984,2411,3587,1433
2550,vegetation,190,744,538,622,665,188
2551,dollar,3073,11937,16093,19990,16140,3498
2552,mister,211,301,713,1964,1552,302
2553,mud,300,1734,2312,3077,2780,1012
2554,brig,326,822,255,525,213,44
2555,sarcasm,141,441,526,351,327,114
2556,seventh,268,1020,1514,2054,2115,639
2557,tasteless,29,85,83,117,177,36
2558,nasal,41,151,224,262,288,106
2559,reward,1887,3968,3734,2759,2930,876
2560,saffron,28,90,124,101,160,105
2561,unroll,28,166,203,172,189,68
2562,aqueduct,40,136,247,239,152,54
2563,honeysuckle,34,183,254,156,137,56
2564,fret,197,615,751,552,541,203
2565,freezing,45,206,282,336,421,119
2566,imperfect,623,1310,805,413,327,92
2567,apron,122,739,1250,1385,948,295
