,word,slice_1800,slice_1840,slice_1880,slice_1920,slice_1960,slice_2000
5361,miscarriage,27,39,94,150,248,67
5362,spoon,186,615,846,1120,1564,762
5363,vacation,72,552,1100,2338,2876,1031
5364,spare,1721,4310,4073,3343,3265,980
5365,professional,657,1886,3341,4976,7557,2750
5366,compliance,302,440,267,400,907,219
5367,machination,90,177,119,124,105,29
5368,dozen,1014,4381,6976,7857,8663,3010
5369,clap,288,935,1220,1345,1427,416
5370,robber,442,1079,1341,1204,576,146
5371,chirp,49,257,323,264,269,152
5372,prescription,101,367,454,483,956,579
5373,mate,479,1978,2502,2354,2254,615
5374,watery,119,373,280,340,464,168
5375,scare,164,628,1443,2648,3336,1119
5376,smoothness,57,129,167,182,134,33
5377,voyage,1146,2833,2687,1889,1214,280
5378,contemporary,417,1053,1977,2176,3424,1012
5379,ecstasy,78,483,737,717,522,133
5380,sketch,1186,2796,2622,1658,1871,463
5381,madness,768,1456,1112,843,1040,268
5382,confidant,89,205,187,115,174,62
5383,oven,138,592,668,921,1651,1038
5384,dinner,1321,6691,10532,11656,11179,3734
5385,invite,1086,4123,4754,5552,6051,1837
5386,pillage,87,181,218,137,130,31
5387,vest,498,1197,1095,1139,1010,322
5388,sanity,27,169,331,430,497,95
5389,reckoning,86,192,276,216,162,141
5390,main,1698,5142,8025,10675,10880,3071
5391,brotherhood,150,673,981,1041,572,116
5392,disgrace,716,2034,1878,955,694,174
5393,bedroom,37,500,1664,4521,6458,2728
5394,dormitory,54,130,212,510,539,109
5395,bowl,264,1100,1732,2783,4904,2510
5396,honesty,451,1165,1280,1096,796,241
5397,clatter,123,545,866,1119,878,265
5398,suspension,231,557,479,936,821,350
5399,fling,541,2151,3557,3253,1987,562
5400,fee,251,872,1526,2425,3601,1234
5401,entrust,386,554,563,564,407,85
5402,grocer,30,272,423,524,229,70
5403,endorse,48,168,332,1051,1537,271
5404,ram,85,340,552,789,1143,315
5405,snarl,65,188,797,1138,962,312
5406,disobey,139,383,396,243,226,59
5407,kindling,93,204,218,153,100,49
5408,vacuum,28,170,185,1113,1401,375
5409,debate,774,2363,2373,4187,6253,1610
5410,aim,1502,4681,5229,5963,6443,1725
5411,secondary,216,681,1199,1738,1611,402
5412,deposit,954,2932,3236,3316,2473,543
5413,coward,542,1205,1477,1039,740,167
5414,enviable,129,187,209,124,125,36
5415,thick,1560,4748,5157,6534,7234,3235
5416,hospitable,218,667,631,306,198,46
5417,bronze,88,799,1511,1264,1336,539
5418,spirited,371,845,893,584,517,179
5419,fervent,297,632,375,260,282,69
5420,imaginable,121,307,286,211,258,91
5421,realization,38,448,1092,1690,1106,257
5422,ache,313,1188,1599,1744,2033,729
5423,fiend,502,1063,591,329,193,48
5424,enchanted,67,344,310,217,144,60
5425,fraternity,109,363,404,972,532,117
5426,delay,1632,3869,4650,5100,4658,1083
5427,atmosphere,809,3316,3680,4023,3797,991
5428,approve,1013,2085,3000,5539,5265,1051
5429,final,781,3171,5375,9234,10278,2930
5430,flourish,803,1584,1495,1474,1402,390
5431,apothecary,92,187,139,131,65,28
5432,society,6947,16184,15224,12472,17918,3439
5433,fitful,121,458,266,143,139,31
5434,beneficiary,55,62,222,364,513,117
5435,plea,328,967,1290,1796,1502,307
5436,total,696,2052,4060,11959,12247,2777
5437,sable,203,498,210,350,241,38
5438,moccasin,99,261,347,392,288,46
5439,lukewarm,32,75,110,149,173,51
5440,assure,2151,5175,5871,5997,4782,1056
5441,irregular,422,1188,1190,1070,676,189
5442,indiscriminate,118,215,176,166,165,27
5443,ensure,235,331,200,460,2124,1042
5444,commanding,65,210,185,139,97,33
5445,specify,231,590,594,1023,1173,214
5446,garter,63,114,127,254,204,48
5447,dissatisfied,112,361,397,373,234,66
5448,bulky,49,170,259,465,518,169
5449,tribute,489,987,1511,1608,1125,306
5450,victim,1680,3967,3775,3843,5986,1966
5451,curiosity,1465,3368,3738,2520,2024,603
5452,farmer,834,3571,6603,9846,6439,1590
5453,deformity,168,305,173,96,140,44
5454,molest,92,217,218,180,179,53
5455,futile,46,260,809,1148,652,162
5456,candor,239,576,380,350,383,69
5457,invoice,33,57,82,158,173,32
5458,owe,2155,5475,6100,4599,3495,842
5459,bequeath,161,458,380,207,160,52
5460,syrup,123,113,258,290,511,281
5461,coil,238,686,1170,1395,1123,310
5462,prevalent,193,634,599,536,477,115
5463,profitable,431,1161,1409,1475,1175,261
5464,topographical,38,162,89,47,62,28
5465,geology,98,570,334,170,210,68
