word,J-SUM,J-MIN,J-MAX,RJ-SUM,RJ-MIN,RJ-MAX,LNC1-SUM,LNC1F-MIN,LNC1F-MAX,LNC2-SUM,LNC2F-MIN,LNC2F-MAX,RLNC2-SUM,RLNC2F-MIN,RLNC2F-MAX,C-SUM,C-MIN,C-MAX,RC-SUM,R-CMIN,R-CMAX
avert,2.121852987049712,0.0,0.35135135135135137,1.2076947379742409,0.0,0.42857142857142855,13.132452048255686,0.6026714971301252,0.9804698923443724,12.346738981090196,0.4797344311271597,0.979918599924298,7.652423929856076,0.2030837705720088,0.7476655698737507,11.258009374141693,0.5812198519706726,0.8855220675468445,3.5290264824870974,-0.0198750551789999,0.6397730708122253
avoid,3.486611372168287,0.1111111111111111,0.42857142857142855,0.3841688849452825,0.0,0.08695652173913042,14.176315719126633,0.8510922219191435,0.9883735607415279,13.604044216488536,0.7137832186949945,0.9883735607415279,8.378020695780586,0.25756062765331444,0.766833234586913,12.039867699146269,0.7235720157623291,0.904945969581604,6.990105614066124,0.2372177690267563,0.714595377445221
await,4.026457634175498,0.06382978723404255,0.4705882352941176,0.3972716746272978,0.0,0.06382978723404255,13.989861963964591,0.8464135466704636,0.9827540725888264,13.268663773390006,0.7443607463298723,0.9679468622626688,5.568324010401598,-0.16111337730052333,0.7820555325904077,11.86872375011444,0.6720976829528809,0.8899674415588379,3.5537386909127235,0.0627388134598732,0.5258032083511353
awake,6.5724445687680975,0.28205128205128205,0.5625,4.8994355890451935,0.2195121951219512,0.4705882352941176,14.649379812997749,0.9597160245075592,0.9927162910781724,13.94949825662065,0.8616302645781667,0.9923665401848212,8.071622087101044,0.2364582133036378,0.7454086130949257,12.439511001110075,0.7388604283332825,0.9182654023170472,9.772574603557588,0.5199533104896545,0.7841117978096008
awaken,3.7582419160789566,0.06382978723404255,0.5151515151515151,1.8774592636004332,0.04166666666666666,0.28205128205128205,13.462941195260074,0.7382601843387925,0.9884453521154138,12.996553917501304,0.6801101822967405,0.9884453521154138,6.347145980180285,0.12440446063450795,0.7344087491539841,11.39460676908493,0.5449500679969788,0.8948332071304321,6.4087458327412605,-0.05061907321214676,0.8134826421737671
awakening,1.6714599072865233,0.0,0.28205128205128205,0.2670068027210884,0.0,0.04166666666666666,13.586124878900852,0.6990170802744501,0.9777834195550182,12.63844575577776,0.6149127751887865,0.96565843856193,6.4796743674220565,0.14089006249432412,0.7545594720883803,10.265265822410583,0.356018602848053,0.8628608584403992,5.174724869430065,0.04563621431589127,0.5108782052993774
award,1.6633912519922316,0.0,0.3888888888888889,0.9589517625231909,0.0,0.3888888888888889,12.956998539014778,0.7110574971833702,0.9813729313776736,10.506989422444127,0.4920818609987612,0.9444271244129242,7.539575639339862,0.1794952539365401,0.7056071735215952,10.97808063030243,0.5931355953216553,0.8641300201416016,4.156063761562109,-0.051815006881952286,0.7579517364501953
aware,3.0839685219568804,0.06382978723404255,0.4705882352941176,0.7499853163590443,0.020408163265306117,0.1111111111111111,13.861587873155196,0.8214298198212167,0.9915155255638254,13.587332567833734,0.7636318677582579,0.9859614842676112,7.024209390639792,0.17858450661318306,0.822656840583082,10.195248633623123,0.4947046339511871,0.8755722045898438,4.9215120896697035,0.010449282824993134,0.588840663433075
away,1.7759109794750414,0.04166666666666666,0.28205128205128205,0.3436618549858968,0.0,0.2195121951219512,13.720060405606263,0.8071864088087556,0.9625951231454112,12.464233211877627,0.749225420507249,0.9241791288808836,8.43442674583552,0.3561433255238682,0.8298106437566874,12.228837132453918,0.729995846748352,0.9262189865112304,4.790608115494251,0.11231263726949693,0.7652087211608887
awe,3.0239189764771783,0.08695652173913042,0.4705882352941176,0.6305456965394853,0.0,0.25,14.217211257399487,0.8894544868634958,0.98822942283686,13.920485013424495,0.8481472600752609,0.98822942283686,7.772434446901312,0.30571041382024744,0.8045219480120643,12.49728924036026,0.7389032244682312,0.9261680245399476,6.232953205704689,0.20198635756969446,0.666000485420227
