word,neighbor,year,cosine,score
console,consolation,1840,0.6723927855491638,7.352950967212051
console,consolation,2000,-0.2137700617313385,7.352950967212051
console,comforting,1840,0.7132766842842102,7.352950967212051
console,comforting,2000,0.09873833507299423,7.352950967212051
console,sorely,1840,0.6592941284179688,7.352950967212051
console,sorely,2000,-0.17017315328121185,7.352950967212051
console,portable,1840,-0.13521413505077362,7.352950967212051
console,portable,2000,0.7711848020553589,7.352950967212051
console,dashboard,1840,-0.11166006326675415,7.352950967212051
console,dashboard,2000,0.7349510192871094,7.352950967212051
console,cam,1840,-0.08456005156040192,7.352950967212051
console,cam,2000,0.6957168579101562,7.352950967212051
console,jiffy,1840,-0.09418343007564545,7.352950967212051
console,jiffy,2000,0.6989920139312744,7.352950967212051
console,cockpit,1840,-0.20961198210716248,7.352950967212051
console,cockpit,2000,0.696321427822113,7.352950967212051
whilst,portion,1840,0.5013225078582764,8.534027502310016
whilst,portion,2000,-0.0939512550830841,8.534027502310016
whilst,allot,1840,0.5346029996871948,8.534027502310016
whilst,allot,2000,0.18956899642944336,8.534027502310016
whilst,usefully,1840,0.5234799981117249,8.534027502310016
whilst,usefully,2000,0.20318593084812164,8.534027502310016
whilst,temporarily,1840,0.525489091873169,8.534027502310016
whilst,temporarily,2000,-0.12060105800628662,8.534027502310016
whilst,principally,1840,0.5513807535171509,8.534027502310016
whilst,principally,2000,0.25922325253486633,8.534027502310016
whilst,fracas,1840,-0.35563865303993225,8.534027502310016
whilst,fracas,2000,0.6130424737930298,8.534027502310016
whilst,sanskrit,1840,0.0458071194589138,8.534027502310016
whilst,sanskrit,2000,0.6367241144180298,8.534027502310016
whilst,cicero,1840,-0.03851112350821495,8.534027502310016
whilst,cicero,2000,0.6372348070144653,8.534027502310016
whilst,deathbed,1840,0.028573624789714813,8.534027502310016
whilst,deathbed,2000,0.6724361777305603,8.534027502310016
whilst,bertram,1840,-0.26110178232192993,8.534027502310016
whilst,bertram,2000,0.6122456192970276,8.534027502310016
erection,workshop,1840,0.6267294883728027,4.4354932788912285
erection,workshop,2000,-0.2243560254573822,4.4354932788912285
erection,rebuilding,1840,0.7239786386489868,4.4354932788912285
erection,rebuilding,2000,-5.4398296924773604e-05,4.4354932788912285
erection,demolition,1840,0.634969174861908,4.4354932788912285
erection,demolition,2000,-0.3370306193828583,4.4354932788912285
erection,ironwork,1840,0.7233821153640747,4.4354932788912285
erection,ironwork,2000,0.1232714131474495,4.4354932788912285
erection,construction,1840,0.7045979499816895,4.4354932788912285
erection,construction,2000,-0.2938157618045807,4.4354932788912285
erection,heaviness,1840,-0.20653431117534637,4.4354932788912285
erection,heaviness,2000,0.7738839387893677,4.4354932788912285
erection,numbness,1840,-0.3132407069206238,4.4354932788912285
erection,numbness,2000,0.7136590480804443,4.4354932788912285
erection,painfully,1840,-0.2797631621360779,4.4354932788912285
erection,painfully,2000,0.7322006821632385,4.4354932788912285
erection,pain,1840,-0.3459273874759674,4.4354932788912285
erection,pain,2000,0.7784285545349121,4.4354932788912285
erection,itching,1840,-0.3642897307872772,4.4354932788912285
erection,itching,2000,0.7308861613273621,4.4354932788912285
pregnant,replete,1840,0.6367363929748535,6.672805245473954
pregnant,replete,2000,-0.23673442006111145,6.672805245473954
pregnant,foreshadow,1840,0.6920803785324097,6.672805245473954
pregnant,foreshadow,2000,-0.09422795474529266,6.672805245473954
pregnant,embody,1840,0.63698810338974,6.672805245473954
pregnant,embody,2000,-0.24737441539764404,6.672805245473954
pregnant,prophecy,1840,0.6871152520179749,6.672805245473954
pregnant,prophecy,2000,0.009148298762738705,6.672805245473954
pregnant,retrospective,1840,0.6463176012039185,6.672805245473954
